Make,Model,Year,Engine,Seating,Price
Suzuki,Cultus  VXR (CNG),2004,1000,5,7
Toyota,Surf  SSR-G 3.4,1996,3400,7,31
Toyota,Land Cruiser 100 Series VX Limited 4.2D,1999,4200,7,55
Honda,Civic  Oriel 1.8 i-VTEC CVT,2022,1800,5,59.5
Toyota,Prado 120 Series TZ 3.4,2005,3400,7,79.5
Toyota,Mark II  Grande 2.0,2000,2000,5,24.9
Honda,Civic  EXi,2002,1500,5,9.8
Honda,Civic Rebirth Oriel Prosmatec UG,2013,1800,5,23.85
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,26.5
Suzuki,Vitara  GL+ 1.6,2017,1600,5,43
Toyota,Fortuner  2.7 VVTi,2013,2700,7,58
Suzuki,Cultus  VXR,2006,1000,5,6.5
Toyota,Prius  ,2010,1500,5,26.5
Honda,City  1.2L M/T,2022,1200,5,35.65
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,39.3
Toyota,Corolla  ,1989,1500,5,10.25
Suzuki,Alto  VXR,2009,1000,4,7.95
Suzuki,Mehran  VXR Euro II,2015,796,4,9.95
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2017,1500,5,30.5
Suzuki,Wagon R  AGS,2007,660,5,13.8
Honda,City 5th Generation 1.3 i-VTEC,2013,1300,5,21.5
Toyota,Corolla  XLi VVTi Ecotec,2011,1300,5,17.5
Suzuki,Mehran  VX,2011,800,4,5.95
Toyota,Land Cruiser 100 Series Amazon 4.2D,2001,4200,7,64
Toyota,Mark II  Grande 2.0,2003,2000,5,28.5
Toyota,Corolla  GLi 1.3 VVTi,2012,1300,5,21
Suzuki,Alto  VXR,2022,660,4,21.5
Suzuki,Swift  GL CVT,2022,1200,5,34.5
Toyota,Corolla  ,1992,1600,5,11.5
Honda,Civic Rebirth VTi Prosmatec 1.8 i-VTEC,2015,1800,5,26.95
Toyota,Corolla  Altis Grande 1.8,2014,1800,5,33
Toyota,Voxy  2.0 CVT,2016,2000,7,
Mercedes,Benz E Class 4th (W212) Generation E200,2012,2000,5,82
Honda,City  1.2L CVT,2022,1200,5,
Toyota,Corolla  Altis Grande CVT-i 1.8,2017,1800,5,37.8
Toyota,Surf  SSR-G 2.7,2003,2700,7,62
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,
Toyota,Hilux  Revo Rocco,2022,2800,5,
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2014,1500,5,25
Toyota,Mark II  Grande 2.0,2000,2000,5,24.9
Honda,HR-V  VTi-S,2022,1500,5,67.8
Honda,Civic Reborn VTi 1.8 i-VTEC,2007,1800,5,14
Suzuki,Cultus  VXR,2018,1000,5,20.95
Suzuki,Wagon R  VXL,2018,1000,5,20.7
Toyota,Corolla  GLi Automatic 1.6 VVTi,2012,1600,5,24
Toyota,Prado  ,1993,3000,7,29
Toyota,Surf  SSR-X 2.7,2004,2700,7,65
Toyota,Vitz  F Limited 1.0,2013,1000,5,25.75
Toyota,Aqua  S,2015,1500,5,37.75
Suzuki,Mehran  VXR Euro II,2012,800,4,9.35
Suzuki,Mehran  VXR Euro II,2016,796,4,11
Toyota,Aqua  S,2018,1500,5,49.8
Toyota,Corolla Axio  X 1.5,2006,1500,5,22.5
Suzuki,Cultus  VXR,2007,1000,5,7.75
Toyota,Corolla  GLi Automatic 1.3 VVTi,2015,1300,5,27
Honda,Civic  Oriel 1.8 i-VTEC CVT,2022,1800,5,60.45
Suzuki,Cultus  VXR,2017,1000,5,19.39
Suzuki,Mehran  VXR Euro II,2017,796,4,12
Suzuki,Cultus  VXR (CNG),2007,1000,5,7.75
Toyota,Corolla  ,1995,1600,5,5
Honda,Civic  VTi Oriel Prosmatec 1.6,2002,1600,6,11.5
Honda,Vezel  Hybrid Z Sensing ,2016,1500,5,
Nissan,Note  E,2019,1300,5,
Toyota,Aqua  S,2018,1500,5,
Nissan,Kix  ,2021,1200,4,76
Honda,Vezel  Hybrid X Sensing,2016,1500,5,
Toyota,C-HR  ,2018,1800,5,
Mercedes,Benz E Class 4th (W212) Generation E300,2014,3500,5,
Toyota,Raize  ,2020,1000,5,
Mercedes,Benz E Class 4th (W212) Generation E200,2012,2000,5,86
Suzuki,APV  GLX,2013,1600,8,27.95
Toyota,Aqua  S,2017,1500,5,38
Subaru,Justy  ,1986,1000,5,1.8
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,53
Toyota,Corolla  Altis Grande CVT-i 1.8,2017,1800,5,36.75
Honda,City  i-DSI Vario,2006,1300,7,16.8
Toyota,Passo  G F Package,2006,1000,5,15.45
Toyota,Prado 90 Series TZ 3.4,2000,3400,7,46.5
Toyota,Corolla  XLi VVTi,2011,1300,5,18.5
Suzuki,Mehran  VXR Euro II,2019,796,4,13.55
Toyota,C-HR  ,2017,1800,5,85
Suzuki,Alto  VXR,2003,1000,4,6.9
Toyota,Vitz  F 1.0,2014,1000,5,27.5
Suzuki,Alto  VXL AGS,2020,660,4,21.5
Toyota,Vitz  B 1.0,2010,1000,5,18.5
Changan,Karvaan  Plus,2021,1000,8,21.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,53.9
Suzuki,Alto  VXL AGS,2020,660,4,22.25
Nissan,Dayz Highway Star  ,2016,660,5,20.65
Suzuki,Margalla  ,1996,1300,5,6
Honda,Civic  EXi,2002,1500,5,9.8
Toyota,Premio  ,1998,1800,5,18.9
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,48.5
Toyota,Corona  ,1998,1800,5,18.9
Toyota,Corolla  GLi 1.3 VVTi,2018,1300,5,34.6
Honda,City  EXi S,2001,1500,5,8.2
Toyota,Corolla Axio  Hybrid 1.5,2018,1500,5,51
Changan,Oshan X7  FutureSense,2022,1500,,75.5
Honda,City 5th Generation 1.3 i-VTEC,2010,1300,5,21.8
Honda,Civic  VTi 1.6,2001,1600,6,12
Honda,City  i-DSI,2005,1300,7,14
Suzuki,Cultus  Limited Edition,2017,1000,5,16.3
Toyota,Corolla  Altis SR Cruisetronic 1.6,2013,1600,5,27.25
Peugeot,2008  Allure,2022,1200,5,61.74
Toyota,Yaris  GLI CVT 1.3,2021,1300,5,31
Toyota,Corolla 9th Generation XLi,2007,1300,5,19.5
Toyota,Corolla  GLi Automatic 1.3 VVTi,2017,1300,5,34.5
Suzuki,Wagon R  VXL,2019,1000,5,20.85
Suzuki,Swift  DLX 1.3 Navigation ,2013,1300,5,15.45
Suzuki,Every Wagon  ,2018,660,4,15.6
Honda,Civic Rebirth Oriel Prosmatec UG,2013,1800,5,23.85
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2011,1800,5,25
Suzuki,Alto  VXR,2022,660,4,22.35
Honda,Grace Hybrid 6th Generation ,2018,1500,6,55
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,26.5
Suzuki,Mehran  VX Euro II Limited Edition,2016,796,4,9.7
Suzuki,Vitara  GL+ 1.6,2017,1600,5,43
Nissan,Sunny  EX Saloon Automatic 1.3,2005,1300,5,12.95
Nissan,Dayz  ,2016,660,5,21.7
Honda,Civic Reborn ,2009,1800,5,20
Mitsubishi,Pajero  Exceed 2.5D,1987,2500,7,13.95
Honda,City 5th Generation 1.3 i-VTEC,2017,1300,5,27.3
Honda,BR-V  i-VTEC S,2021,1500,7,43.2
Honda,City  i-DSI,2006,1300,7,14.2
Toyota,Fortuner  2.7 VVTi,2013,2700,7,58
Suzuki,Mehran  VX,2004,800,4,4.75
Honda,Civic Reborn VTi Oriel 1.8 i-VTEC,2010,1800,5,19
Suzuki,Swift  GLX CVT,2022,1200,5,40
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,56.5
Toyota,Vitz  F 1.0,2012,1000,5,21.4
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,45.5
BMW,X1  sDrive18i,2017,1500,5,59.5
Suzuki,Every  Join,2014,660,4,13.5
Toyota,Yaris  ATIV MT 1.3,2022,1300,5,38.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,54.5
Honda,Civic  1.5 RS Turbo,2021,1500,5,61
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,53
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,50
Toyota,Vitz  F M Package 1.0,2018,1000,5,35
Changan,Karvaan  Plus,2022,1000,8,23.7
