,Year,Engine,Seating,Price
0,2004,1000.0,5.0,700000.0
1,1996,3400.0,7.0,3100000.0
2,1999,4200.0,7.0,5500000.0
3,2022,1800.0,5.0,5950000.0
4,2005,3400.0,7.0,7950000.0
5,2000,2000.0,5.0,2490000.0
6,2002,1500.0,5.0,980000.0000000001
7,2013,1800.0,5.0,2385000.0
8,2015,1300.0,5.0,2650000.0
9,2017,1600.0,5.0,4300000.0
10,2013,2700.0,7.0,5800000.0
11,2006,1000.0,5.0,650000.0
12,2010,1500.0,5.0,2650000.0
13,2022,1200.0,5.0,3565000.0
14,2017,1800.0,5.0,3929999.9999999995
15,1989,1500.0,5.0,1025000.0
16,2009,1000.0,4.0,795000.0
17,2015,796.0,4.0,994999.9999999999
18,2017,1500.0,5.0,3050000.0
19,2007,660.0,5.0,1380000.0
20,2013,1300.0,5.0,2150000.0
21,2011,1300.0,5.0,1750000.0
22,2011,800.0,4.0,595000.0
23,2001,4200.0,7.0,6400000.0
24,2003,2000.0,5.0,2850000.0
25,2012,1300.0,5.0,2100000.0
26,2022,660.0,4.0,2150000.0
27,2022,1200.0,5.0,3450000.0
28,1992,1600.0,5.0,1150000.0
29,2015,1800.0,5.0,2695000.0
30,2014,1800.0,5.0,3300000.0
32,2012,2000.0,5.0,8200000.0
33,2022,1200.0,5.0,3890151.5151515147
34,2017,1800.0,5.0,3779999.9999999995
35,2003,2700.0,7.0,6200000.0
36,2022,1800.0,5.0,6143055.555555556
37,2022,1500.0,5.0,6924162.790697674
38,2022,2800.0,5.0,11668750.0
39,2014,1500.0,5.0,2500000.0
41,2022,1500.0,5.0,6780000.0
42,2007,1800.0,5.0,1400000.0
43,2018,1000.0,5.0,2095000.0
44,2018,1000.0,5.0,2070000.0
45,2012,1600.0,5.0,2400000.0
46,1993,3000.0,7.0,2900000.0
47,2004,2700.0,7.0,6500000.0
48,2013,1000.0,5.0,2575000.0
49,2015,1500.0,5.0,3775000.0
50,2012,800.0,4.0,935000.0
51,2016,796.0,4.0,1100000.0
52,2018,1500.0,5.0,4980000.0
53,2006,1500.0,5.0,2250000.0
54,2007,1000.0,5.0,775000.0
55,2015,1300.0,5.0,2700000.0
56,2022,1800.0,5.0,6045000.0
57,2017,1000.0,5.0,1939000.0
58,2017,796.0,4.0,1200000.0
59,2007,1000.0,5.0,775000.0
60,1995,1600.0,5.0,500000.0
61,2002,1600.0,6.0,1150000.0
62,2016,1500.0,5.0,5411666.666666667
63,2019,1300.0,5.0,4800000.0
64,2018,1500.0,5.0,4965952.380952381
65,2021,1200.0,4.0,7600000.0
67,2018,1800.0,5.0,7050000.0
69,2020,1000.0,5.0,4500000.0
70,2012,2000.0,5.0,8600000.0
71,2013,1600.0,8.0,2795000.0
72,2017,1500.0,5.0,3800000.0
73,1986,1000.0,5.0,180000.0
74,2020,1800.0,5.0,5300000.0
75,2017,1800.0,5.0,3675000.0
76,2006,1300.0,7.0,1680000.0
77,2006,1000.0,5.0,1545000.0
78,2000,3400.0,7.0,4650000.0
79,2011,1300.0,5.0,1850000.0
80,2019,796.0,4.0,1355000.0
81,2017,1800.0,5.0,8500000.0
82,2003,1000.0,4.0,690000.0
83,2014,1000.0,5.0,2750000.0
84,2020,660.0,4.0,2150000.0
